id,crime,unemp,pop
05368,7,33,3256
05434,56,502,23038
05463,29,573,18267
05464,3,75,3180
06201,2592,6868,256012
06202,790,2285,93178
06203,700,3622,142384
06204,674,3294,117577
06205,325,1204,40717
06206,324,908,43625
06207,213,915,36013
06208,93,571,28192
06209,93,639,30929
06210,608,1984,63864
06211,316,1195,45834
06212,102,374,20695
06213,250,860,35190
06301,58,384,15415
06302,70,340,12523
06321,87,504,20738
06322,22,143,6917
06323,22,159,8593
06324,24,210,9915
06341,36,217,8824
06361,9,215,6949
06362,21,216,10761
06363,32,186,6671
06364,27,362,10054
06365,7,79,4226
06366,8,110,5447
06367,22,154,5915
06381,102,610,26026
06382,62,334,18769
06401,58,167,9742
06402,21,312,16331
06403,18,150,8623
06426,92,250,8003
06428,61,655,24677
06461,36,443,16852
07201,3149,8890,297357
07202,1508,4050,131389
07203,4151,10411,338834
07204,4056,13291,354492
07205,629,1946,65707
07207,824,2619,80364
07208,326,1554,56396
07209,408,1325,38630
07210,354,1747,63178
07211,194,1336,43253
07212,596,2498,72837
07213,405,2066,69289
07214,212,855,31367
07301,87,430,13411
07303,69,367,10692
07308,87,536,17034
07322,53,209,8464
07342,158,379,12746
07344,33,166,6486
07362,24,179,7053
07364,10,4,706
07367,13,84,5284
07368,58,442,19870
07402,19,99,3475
07405,38,178,8237
07407,22,103,3951
07408,148,413,17009
07421,108,549,18274
07422,7,79,3570
07423,18,114,4260
07444,3,45,2250
07445,2,57,2834
07446,0,24,1632
07447,90,814,24741
07461,189,474,19494
07464,70,196,6761
07465,31,193,5174
07466,179,618,18735
07481,103,385,15795
07482,31,140,6740
07483,46,218,10619
07484,11,105,4322
07501,89,622,18921
07502,34,213,7602
07503,23,147,7538
07504,33,195,7272
07505,20,141,6511
07521,76,577,19194
07522,56,281,12105
07541,29,165,5533
07542,43,258,8188
07543,146,454,15910
07544,16,83,3125
07545,80,267,10992
07546,23,192,7170
07547,147,739,21615
07548,4,21,1625
07561,69,286,8584
07564,22,161,6722
08201,4419,7833,262603
08202,2272,6906,199218
08203,3189,4143,144060
08204,1972,4830,145265
08205,1093,2614,81887
08207,797,1724,52460
08208,1189,2325,78950
08210,735,1211,46435
08211,822,1898,66536
08212,430,1690,59802
08214,365,1177,32932
08215,508,1864,49645
08216,1021,2609,81497
08217,1423,3694,111327
08219,1179,2255,77223
08220,4091,3805,200528
08221,1612,4664,153639
08222,955,2349,64435
08223,467,1235,31524
08224,976,1448,53700
08225,316,1256,47808
08226,546,1526,54705
08227,1599,3436,112581
08228,684,1696,57516
08229,818,1764,49689
08230,640,1427,44603
08231,601,1459,48400
08232,2130,3730,91867
08233,375,1034,40035
08234,598,1694,51054
08235,404,1137,40174
08236,592,1825,53265
08302,429,1107,35008
08309,252,709,19205
08310,193,683,22993
08341,445,967,35450
08364,95,472,22103
08442,194,534,18118
08443,686,1691,47994
08447,122,336,10959
08521,306,592,23609
08542,129,345,9873
08546,359,721,26468
08564,125,590,18024
09201,8354,14415,502396
09202,2168,4794,159756
09203,1792,4621,142774
09204,1627,3696,123926
09205,972,3078,104148
09206,759,2831,94291
09208,2658,4847,160150
09209,927,2564,83002
09210,694,1977,79023
09211,384,1058,35685
09213,1489,3313,115032
09214,496,1160,41383
09215,205,908,31152
09216,744,1484,59132
09301,401,750,31592
09321,52,181,6978
09342,208,604,25080
