id,crime,unemp,pop
32525,5,45,2581
32526,14,176,3486
32527,1,9,725
32528,59,289,16904
33100,12200,18890,696172
33202,6729,12482,469377
33203,1518,3093,110569
33204,610,1897,67047
33205,525,1937,57272
33207,267,1005,45104
33208,642,1768,66584
33209,207,661,38799
33210,155,669,36073
33211,394,1251,40241
33212,379,1008,39081
33213,399,1158,43913
33214,296,990,51782
33215,240,929,32479
33216,326,1080,37327
33346,175,505,16180
33423,94,348,11921
33445,80,339,10823
33461,79,380,15713
33586,3,20,1019
33606,98,389,14059
33622,99,251,11263
33623,24,132,6475
33643,6,44,1684
33663,38,115,5690
33666,110,404,16577
33681,76,191,14040
34100,13821,29788,1154391
34202,2102,5918,251003
34203,187,828,30657
34204,893,2658,104196
34205,1072,4060,150225
34207,5239,13143,459087
34208,254,1217,45188
34209,360,1000,59314
34210,165,740,43149
34211,217,876,30279
34212,1685,3653,184430
34213,943,2857,115530
34214,125,699,33096
34215,178,688,29939
34302,567,1661,50732
34304,399,851,29137
34307,184,740,25103
34309,125,388,12399
34368,41,128,8238
34369,116,329,20857
34431,27,132,9236
34462,90,381,18866
34545,35,148,11590
35201,2772,7621,290693
35202,1795,4993,178955
35203,1894,4369,199297
35204,453,1376,57990
35206,1138,3206,116818
35207,497,1585,53509
35208,1335,4034,149702
35210,333,1547,53971
35211,281,950,41127
35212,308,881,35927
35213,108,594,29839
35215,1245,3742,152387
35216,531,1832,66261
35305,99,414,21392
35321,58,175,6441
35341,9,75,3706
35343,56,331,16287
35344,59,309,14203
35502,19,79,4101
36201,3276,9258,267833
36202,497,2180,63200
36203,357,1713,42115
36204,616,2946,78002
36205,384,1652,45782
36206,253,1998,41076
36207,206,1161,34565
36208,207,1011,34103
36301,18,190,6303
36302,11,21,1955
36321,6,62,2800
36341,269,1222,26068
36342,18,140,6924
36368,22,194,10695
36383,30,154,5391
36387,43,222,8726
36388,69,306,11507
36401,119,482,14926
36402,197,758,20703
36403,323,1532,32286
36404,112,742,14519
36405,89,566,13123
36468,64,466,11722
36489,144,456,15626
37201,4723,13455,418125
37202,1580,3401,110085
37203,776,2245,57266
37204,448,1234,35495
37205,631,1917,65226
37206,509,1664,55754
37207,215,1101,35929
37208,479,1794,71180
37322,122,465,16411
37324,69,499,17257
37341,229,943,28790
37364,23,68,3538
37386,386,481,17460
37387,176,663,25628
37403,107,294,10747
37404,233,818,23613
37406,159,639,19896
38201,7626,17973,514937
38202,1976,5928,173983
38203,898,2998,89444
38204,269,1127,41264
38205,1364,3649,123952
38206,1134,3435,113371
38207,472,1491,50786
38210,379,1097,39493
38213,830,2477,92854
38214,293,1077,44948
38215,435,944,35278
38356,40,120,8098
38386,82,193,10946
38401,346,942,30564
38402,208,654,22424
38422,126,447,19620
38442,40,301,12095
38484,14,144,4690
38488,59,285,12432
38506,151,1004,26636
39201,6041,14444,348990
39202,146,958,17490
39203,158,755,20348
39204,710,1809,50758
39205,255,1417,30011
39206,250,1179,26039
39208,239,1266,24397
39209,84,752,17281
39210,313,1505,37917
39211,405,1203,33541
39212,201,1047,30257
39301,25,232,3386
39302,41,206,3727
39303,21,142,3236
39304,27,127,3297
39305,5,35,1478
39306,1,21,1170
39307,39,100,4208
39341,22,168,4374
39344,20,138,5492
39363,25,80,4632
39364,2,17,538
39386,251,929,27068
39387,27,177,7347
39401,51,275,8320
39402,113,482,14447
39403,34,251,6952
39405,19,157,4625
39410,39,309,5895
39411,27,158,6862
39412,85,580,20527
39424,28,313,6437
39427,7,67,1808
39428,40,538,13437
40100,16670,36576,993525
40130,29302,48144,1401279
40202,1557,5184,131090
40203,5871,10222,306434
40204,1145,2381,57497
40205,2765,6327,133357
40206,1216,2485,51534
40207,699,2749,74539
40210,698,1957,73262
40211,705,1501,47844
40212,391,1434,39213
40213,1189,3001,70070
40214,353,871,28104
40215,773,2170,46560
40216,591,1772,57481
40217,1417,3134,97571
40218,1852,3634,108402
40219,1509,2955,92748
40220,1190,2840,94148
40221,1164,2353,67087
40223,828,1746,55943
40224,626,1970,55677
40225,352,1100,32902
40226,368,1412,30630
40227,625,2293,45929
40228,754,1936,59385
40229,333,1403,43372
40230,1021,3404,97974
40305,728,1612,46972
40341,467,1331,39136
40342,402,1158,30985
40343,947,1738,40557
40344,345,1046,25601
40345,466,698,23447
40348,181,230,7858
40349,1012,1344,37685
40381,215,573,16247
40382,550,1427,30679
40383,323,978,31332
40384,375,668,19279
40401,132,492,9253
40402,269,950,18204
40421,201,765,14535
40447,242,902,29353
40448,43,58,2749
40503,130,458,15400
40522,174,513,14282
40544,196,608,20248
40601,217,698,12369
40602,111,576,11810
40604,115,647,10216
40605,433,1660,20115
40608,74,359,5741
40609,35,158,3408
40610,384,1761,25543
40621,706,1232,34387
40625,244,807,22898
40642,54,236,7053
40646,66,217,8172
40647,210,739,20837
41201,3271,7039,241361
41202,1170,4163,131116
41203,879,1885,64723
41204,150,698,22739
41205,390,1850,58190
41206,392,1511,51497
41207,197,849,32117
41208,373,1322,45852
41209,118,811,30392
41210,242,1083,33537
41327,149,476,16100
41341,148,534,18889
41345,125,259,9090
41346,228,896,27157
41387,44,127,6738
41401,83,629,21570
41423,34,461,7956
41424,87,331,9628
41425,143,584,27057
41441,41,204,10660
42201,3171,15431,455206
42202,1905,9411,269574
42203,285,1540,50045
42204,955,4514,144034
42205,724,2756,88040
42207,178,1141,38389
42208,168,957,26993
42209,183,1269,38481
42210,153,764,31414
42211,193,1276,44765
42212,115,813,33680
42213,210,1370,49998
42214,198,1377,54045
42307,180,1028,42655
42308,249,921,29127
42321,22,317,9657
42322,71,446,15158
42323,44,361,15367
42383,0,49,3268
42391,99,505,13697
42411,75,872,25039
43201,8809,22490,727978
43202,1444,3746,136886
43203,316,1099,37583
43204,603,2347,55960
43205,165,859,29120
43206,590,2175,71851
43208,411,1741,57726
43210,414,1488,51862
43211,406,1134,38023
43212,129,969,32502
43213,552,1901,63089
43214,141,793,29636
43215,336,3049,96473
43216,387,1466,51647
43348,56,307,12254
43364,41,132,5626
43367,72,297,11203
43368,87,666,17381
43369,52,255,11900
43403,285,870,29107
43404,607,961,32434
43423,27,95,4687
43424,41,156,8621
43425,7,22,1708
43428,24,158,7081
43432,30,168,6352
43433,51,244,12254
43441,63,591,18116
43442,132,255,8492
43443,153,1027,32782
43444,50,322,11604
43447,47,346,18761
43468,43,379,13232
43482,97,536,20840
43484,22,164,5424
43501,74,363,11647
43505,60,307,11398
43506,18,135,4726
43507,13,69,2597
43510,25,130,5398
43511,6,30,1358
43512,19,84,3901
43513,7,132,4786
43514,83,429,17300
43531,11,176,8927
44201,4878,15185,462317
44202,1315,4848,126959
44203,761,2496,84368
44204,479,2237,74165
44205,383,2450,80297
44206,173,1391,43352
44207,53,648,21456
44208,105,574,26534
44209,135,690,25114
44210,148,734,33567
44211,414,1737,60809
44212,127,1020,41548
44213,179,1020,35386
44214,93,683,34206
44322,4,37,2469
44341,140,770,27640
44461,23,224,11108
44462,73,451,18276
45201,4314,12662,395593
45202,1666,5068,170955
45203,1023,4949,135182
45204,334,2021,60914
45205,242,1258,49820
45206,641,2299,63555
45207,80,670,22118
45208,180,1046,34087
45209,96,584,23079
45341,232,679,24545
45361,30,311,10623
45382,128,665,21692
45383,22,195,7478
45401,177,743,22522
45402,83,541,18608
45403,2,19,1307
45404,19,132,5531
45405,75,530,17323
45406,65,427,11811
45421,102,693,19207
45429,3,22,2119
45430,3,45,3478
45431,23,120,6874
45441,33,273,14778
45442,12,85,5031
45443,4,78,4812
46201,6566,24683,604367
46203,823,3516,106208
46204,83,791,25150
46206,240,770,25072
46208,277,1811,57907
46210,173,1382,46822
46213,79,473,18198
46214,96,585,18928
46215,566,2851,102370
46216,240,1587,52411
46217,160,1267,42287
46218,890,3908,127309
46219,156,1079,32993
46220,224,1012,41677
46221,166,900,34770
46222,339,2580,49617
46223,196,975,42191
46224,139,930,31499
46225,539,2399,74840
46303,1,1,462
46304,2,8,673
46392,129,574,25688
46404,23,284,11958
46452,46,360,12566
46468,74,440,15303
46482,21,186,7122
46490,49,247,10015
46491,37,265,9897
46492,123,620,18307
46501,40,233,9194
46502,16,172,6751
46505,34,418,13761
46523,4,99,2013
46524,6,46,2048
46525,52,484,10782
46527,37,203,6002
46529,29,159,8572
46530,67,463,12892
46531,17,246,7020
46532,18,334,7255
46533,17,129,7436
46534,17,190,7115
46535,21,94,5731
47201,4217,17053,312393
47205,813,5115,89769
47207,659,1612,45183
47208,1035,6133,106049
47209,508,3423,59463
47210,510,3111,55816
47211,1297,7683,126400
47212,531,2891,52516
47213,988,7447,113535
47214,517,2593,53493
47215,156,2146,39651
47301,32,286,5546
47302,11,198,3371
47303,8,133,1825
47306,59,584,9476
47308,100,1108,14383
47311,85,392,9635
47313,26,180,5042
47314,64,591,10619
47315,13,350,5110
47324,213,2116,37306
47325,137,1034,13629
47326,373,1344,26848
47327,114,1000,15790
47328,114,985,15798
47329,313,1527,33733
47348,146,811,15343
47350,403,1424,33537
47353,0,19,790
47354,12,21,1077
47355,4,49,936
47356,1,21,531
47357,6,34,1448
47358,0,8,588
47359,0,69,1547
47360,3,71,1762
47361,22,530,9177
47362,167,1145,25121
47375,6,32,1370
47381,21,72,4192
47382,9,31,1796
